"","ENSEMBLE","gene","module","merged_module","cor_abs","cor"
"367","ENSG00000119787","ATL2","blue","blue",0.221109930497087,-0.221109930497087
"859","ENSG00000164651","SP8","blue","blue",0.215100304702379,-0.215100304702379
"746","ENSG00000154640","BTG3","blue","blue",0.211088642829126,-0.211088642829126
"164","ENSG00000100219","XBP1","blue","blue",0.205511865514058,-0.205511865514058
"772","ENSG00000157216","SSBP3","blue","blue",0.205143446357996,0.205143446357996
"956","ENSG00000171724","VAT1L","blue","blue",0.203969232727088,-0.203969232727088
"671","ENSG00000146242","TPBG","blue","blue",0.203829796091483,-0.203829796091483
"947","ENSG00000171004","HS6ST2","blue","blue",0.197762131562361,-0.197762131562361
"1173","ENSG00000198142","SOWAHC","blue","blue",0.197557586072276,0.197557586072276
"358","ENSG00000118689","FOXO3","blue","blue",0.197110893411986,-0.197110893411986
"456","ENSG00000128564","VGF","blue","blue",0.196903112663474,-0.196903112663474
"384","ENSG00000120875","DUSP4","blue","blue",0.193486703624052,-0.193486703624052
"870","ENSG00000164951","PDP1","blue","blue",0.192922783901052,-0.192922783901052
"1283","ENSG00000230316","FEZF1-AS1","blue","blue",0.191306685666098,-0.191306685666098
"411","ENSG00000124193","SRSF6","blue","blue",0.190618583240151,0.190618583240151
"1391","ENSG00000271824","SMIM32","blue","blue",0.184277833307393,0.184277833307393
"1189","ENSG00000198756","COLGALT2","blue","blue",0.183592493184155,-0.183592493184155
"492","ENSG00000131981","LGALS3","blue","blue",0.183061250762565,-0.183061250762565
"585","ENSG00000139174","PRICKLE1","blue","blue",0.181493603710968,-0.181493603710968
"782","ENSG00000158290","CUL4B","blue","blue",0.180122912517595,-0.180122912517595
"562","ENSG00000138069","RAB1A","blue","blue",0.176847652444203,-0.176847652444203
"1210","ENSG00000204217","BMPR2","blue","blue",0.176559803563537,0.176559803563537
"103","ENSG00000077616","NAALAD2","blue","blue",0.175664934527285,0.175664934527285
"1333","ENSG00000248746","ACTN3","blue","blue",0.174899837874338,-0.174899837874338
"877","ENSG00000165588","OTX2","blue","blue",0.174683700270885,-0.174683700270885
"500","ENSG00000132688","NES","blue","blue",0.173820223332922,0.173820223332922
"514","ENSG00000134369","NAV1","blue","blue",0.1735233967266,-0.1735233967266
"184","ENSG00000101384","JAG1","blue","blue",0.172576723978813,-0.172576723978813
"304","ENSG00000112893","MAN2A1","blue","blue",0.172523348908489,-0.172523348908489
"602","ENSG00000140443","IGF1R","blue","blue",0.171417071798311,0.171417071798311
"1073","ENSG00000183145","RIPPLY3","blue","blue",0.169762755837867,-0.169762755837867
"1068","ENSG00000182968","SOX1","blue","blue",0.162904383925206,-0.162904383925206
"334","ENSG00000116106","EPHA4","blue","blue",0.16207318199978,-0.16207318199978
"72","ENSG00000064270","ATP2C2","blue","blue",0.161793086395196,0.161793086395196
"86","ENSG00000069667","RORA","blue","blue",0.15983739651228,0.15983739651228
"449","ENSG00000127922","SEM1","blue","blue",0.155787452212441,-0.155787452212441
"1006","ENSG00000176165","FOXG1","blue","blue",0.153192471027108,-0.153192471027108
"113","ENSG00000079459","FDFT1","blue","blue",0.150156462326602,-0.150156462326602
"249","ENSG00000108018","SORCS1","blue","blue",0.149396295043709,-0.149396295043709
"421","ENSG00000125430","HS3ST3B1","blue","blue",0.148506415673384,-0.148506415673384
"89","ENSG00000070961","ATP2B1","blue","blue",0.14710603508079,-0.14710603508079
"357","ENSG00000118495","PLAGL1","blue","blue",0.147003481191547,0.147003481191547
"581","ENSG00000138798","EGF","blue","blue",0.144556025288887,-0.144556025288887
"1036","ENSG00000179104","TMTC2","blue","blue",0.144130651107399,0.144130651107399
"1116","ENSG00000186732","MPPED1","blue","blue",0.143744926484665,0.143744926484665
"35","ENSG00000025039","RRAGD","blue","blue",0.143208846793948,0.143208846793948
"534","ENSG00000136104","RNASEH2B","blue","blue",0.142482396887079,0.142482396887079
"1313","ENSG00000240694","PNMA2","blue","blue",0.141965824523325,0.141965824523325
"654","ENSG00000144749","LRIG1","blue","blue",0.141785737232126,-0.141785737232126
"504","ENSG00000133124","IRS4","blue","blue",0.140542126133242,-0.140542126133242
"884","ENSG00000166265","CYYR1","blue","blue",0.139862974726801,0.139862974726801
"710","ENSG00000151376","ME3","blue","blue",0.136413668232649,-0.136413668232649
"344","ENSG00000116962","NID1","blue","blue",0.136260757932666,0.136260757932666
"1112","ENSG00000186350","RXRA","blue","blue",0.135757844072098,0.135757844072098
"1046","ENSG00000180626","ZNF594","blue","blue",0.135500067609331,0.135500067609331
"834","ENSG00000163249","CCNYL1","blue","blue",0.135406624801851,-0.135406624801851
"653","ENSG00000144724","PTPRG","blue","blue",0.135344790745557,-0.135344790745557
"763","ENSG00000156675","RAB11FIP1","blue","blue",0.133505740143378,-0.133505740143378
"1107","ENSG00000186047","DLEU7","blue","blue",0.133174787640572,0.133174787640572
"328","ENSG00000115738","ID2","blue","blue",0.132580185540717,-0.132580185540717
"14","ENSG00000007372","PAX6","blue","blue",0.132269479655122,-0.132269479655122
"519","ENSG00000134569","LRP4","blue","blue",0.12916900475785,0.12916900475785
"745","ENSG00000154553","PDLIM3","blue","blue",0.126281937903493,-0.126281937903493
"309","ENSG00000113319","RASGRF2","blue","blue",0.125920026838474,0.125920026838474
"43","ENSG00000034510","TMSB10","blue","blue",0.125709920620042,-0.125709920620042
"461","ENSG00000129116","PALLD","blue","blue",0.125509006338346,-0.125509006338346
"315","ENSG00000114279","FGF12","blue","blue",0.125405368292902,0.125405368292902
"1378","ENSG00000266074","BAHCC1","blue","blue",0.124570129334488,0.124570129334488
"1152","ENSG00000196542","SPTSSB","blue","blue",0.122963084542603,0.122963084542603
"666","ENSG00000145632","PLK2","blue","blue",0.120569368828833,-0.120569368828833
"141","ENSG00000090861","AARS1","blue","blue",0.120020523849474,-0.120020523849474
"523","ENSG00000134982","APC","blue","blue",0.119077011048641,0.119077011048641
"821","ENSG00000162694","EXTL2","blue","blue",0.116936258041395,0.116936258041395
"455","ENSG00000128422","KRT17","blue","blue",0.116466961390566,-0.116466961390566
"582","ENSG00000138823","MTTP","blue","blue",0.115787879444773,0.115787879444773
"77","ENSG00000065717","TLE2","blue","blue",0.113906165745265,0.113906165745265
"1122","ENSG00000187605","TET3","blue","blue",0.113522377040053,0.113522377040053
"51","ENSG00000046653","GPM6B","blue","blue",0.112466989145983,0.112466989145983
"505","ENSG00000133863","TEX15","blue","blue",0.112440467877325,0.112440467877325
"909","ENSG00000168003","SLC3A2","blue","blue",0.111953784736773,-0.111953784736773
"1213","ENSG00000204899","MZT1","blue","blue",0.111582695951421,-0.111582695951421
"398","ENSG00000123240","OPTN","blue","blue",0.109754227364951,-0.109754227364951
"375","ENSG00000120262","CCDC170","blue","blue",0.1090821144463,0.1090821144463
"537","ENSG00000136327","NKX2-8","blue","blue",0.107898960194206,0.107898960194206
"391","ENSG00000121966","CXCR4","blue","blue",0.106669358550061,0.106669358550061
"417","ENSG00000124813","RUNX2","blue","blue",0.106668882179129,0.106668882179129
"312","ENSG00000113448","PDE4D","blue","blue",0.105250653390443,-0.105250653390443
"532","ENSG00000136014","USP44","blue","blue",0.103153146001007,0.103153146001007
"213","ENSG00000104267","CA2","blue","blue",0.10185160359013,-0.10185160359013
"1134","ENSG00000188582","PAQR9","blue","blue",0.0999089565061846,-0.0999089565061846
"852","ENSG00000164244","PRRC1","blue","blue",0.0978751850274407,-0.0978751850274407
"296","ENSG00000112378","PERP","blue","blue",0.096746879399691,-0.096746879399691
"775","ENSG00000157654","PALM2AKAP2","blue","blue",0.0960555416308688,-0.0960555416308688
"518","ENSG00000134533","RERG","blue","blue",0.0959279796873997,0.0959279796873997
"67","ENSG00000060138","YBX3","blue","blue",0.0958632570770733,-0.0958632570770733
"972","ENSG00000172965","MIR4435-2HG","blue","blue",0.0953025360882276,-0.0953025360882276
"73","ENSG00000064309","CDON","blue","blue",0.0948277803847061,-0.0948277803847061
"216","ENSG00000104490","NCALD","blue","blue",0.0938153977413028,-0.0938153977413028
"34","ENSG00000023902","PLEKHO1","blue","blue",0.0932703726414566,0.0932703726414566
"1219","ENSG00000205213","LGR4","blue","blue",0.0927036618840377,-0.0927036618840377
"667","ENSG00000145642","SHISAL2B","blue","blue",0.091485873897136,-0.091485873897136
"936","ENSG00000170264","FAM161A","blue","blue",0.090602147927409,0.090602147927409
"874","ENSG00000165215","CLDN3","blue","blue",0.0902712051254649,-0.0902712051254649
"908","ENSG00000167904","TMEM68","blue","blue",0.089926917933374,-0.089926917933374
"905","ENSG00000167654","ATCAY","blue","blue",0.089783706268863,-0.089783706268863
"880","ENSG00000166002","SMCO4","blue","blue",0.0896947725074922,-0.0896947725074922
"615","ENSG00000141052","MYOCD","blue","blue",0.0896004509185944,0.0896004509185944
"1077","ENSG00000183715","OPCML","blue","blue",0.0894844171973387,0.0894844171973387
"190","ENSG00000101856","PGRMC1","blue","blue",0.0892456911123242,0.0892456911123242
"405","ENSG00000124067","SLC12A4","blue","blue",0.0889094294942799,-0.0889094294942799
"419","ENSG00000125148","MT2A","blue","blue",0.0887749599848032,-0.0887749599848032
"569","ENSG00000138495","COX17","blue","blue",0.0865234556674469,-0.0865234556674469
"1053","ENSG00000181026","AEN","blue","blue",0.0855561508270728,-0.0855561508270728
"1253","ENSG00000223768","LINC00205","blue","blue",0.0844433005609705,0.0844433005609705
"176","ENSG00000100767","PAPLN","blue","blue",0.0837177371919283,0.0837177371919283
"686","ENSG00000148700","ADD3","blue","blue",0.0836839306842297,-0.0836839306842297
"935","ENSG00000170153","RNF150","blue","blue",0.0827919705160696,0.0827919705160696
"1066","ENSG00000182670","TTC3","blue","blue",0.0826484440399825,-0.0826484440399825
"693","ENSG00000149294","NCAM1","blue","blue",0.0806611808596926,0.0806611808596926
"1099","ENSG00000185585","OLFML2A","blue","blue",0.0802342716046722,0.0802342716046722
"1208","ENSG00000204128","C2orf72","blue","blue",0.0798336110634465,0.0798336110634465
"280","ENSG00000111087","GLI1","blue","blue",0.0788665442997865,0.0788665442997865
"988","ENSG00000173812","EIF1","blue","blue",0.0782624368452046,-0.0782624368452046
"705","ENSG00000150907","FOXO1","blue","blue",0.0773664950596631,0.0773664950596631
"724","ENSG00000152578","GRIA4","blue","blue",0.0758217147837081,0.0758217147837081
"1113","ENSG00000186409","CCDC30","blue","blue",0.0747992866285384,0.0747992866285384
"872","ENSG00000165029","ABCA1","blue","blue",0.0713072748800199,0.0713072748800199
"725","ENSG00000152661","GJA1","blue","blue",0.0712522563520117,-0.0712522563520117
"827","ENSG00000162976","SLC66A3","blue","blue",0.0711235951752514,0.0711235951752514
"338","ENSG00000116667","C1orf21","blue","blue",0.0709210905771313,-0.0709210905771313
"140","ENSG00000090581","GNPTG","blue","blue",0.0699197877994745,0.0699197877994745
"1195","ENSG00000198894","CIPC","blue","blue",0.0693980200676602,0.0693980200676602
"1114","ENSG00000186480","INSIG1","blue","blue",0.0690379386542829,-0.0690379386542829
"1117","ENSG00000186960","LINC01551","blue","blue",0.0690110348685632,-0.0690110348685632
"1248","ENSG00000222041","CYTOR","blue","blue",0.0684023357151273,-0.0684023357151273
"380","ENSG00000120675","DNAJC15","blue","blue",0.0669445760073113,-0.0669445760073113
"1064","ENSG00000182473","EXOC7","blue","blue",0.066769588243386,0.066769588243386
"560","ENSG00000137962","ARHGAP29","blue","blue",0.0661824630781701,-0.0661824630781701
"362","ENSG00000119138","KLF9","blue","blue",0.0660487380942567,-0.0660487380942567
"982","ENSG00000173334","TRIB1","blue","blue",0.0660010455535001,-0.0660010455535001
"50","ENSG00000044524","EPHA3","blue","blue",0.0659212985522713,0.0659212985522713
"1111","ENSG00000186297","GABRA5","blue","blue",0.0650866959612772,-0.0650866959612772
"1150","ENSG00000196376","SLC35F1","blue","blue",0.0647315343489829,-0.0647315343489829
"913","ENSG00000168487","BMP1","blue","blue",0.0642225946313085,0.0642225946313085
"866","ENSG00000164904","ALDH7A1","blue","blue",0.0640640646767524,0.0640640646767524
"387","ENSG00000121310","ECHDC2","blue","blue",0.0637242505088718,0.0637242505088718
"1148","ENSG00000196338","NLGN3","blue","blue",0.0635305170825713,0.0635305170825713
"608","ENSG00000140743","CDR2","blue","blue",0.06351194109802,-0.06351194109802
"238","ENSG00000106537","TSPAN13","blue","blue",0.0630218344296754,0.0630218344296754
"8","ENSG00000006042","TMEM98","blue","blue",0.063008594872243,0.063008594872243
"1176","ENSG00000198355","PIM3","blue","blue",0.0628364710304394,-0.0628364710304394
"1016","ENSG00000176788","BASP1","blue","blue",0.0617639973124515,0.0617639973124515
"578","ENSG00000138768","USO1","blue","blue",0.0615785920589213,-0.0615785920589213
"507","ENSG00000134013","LOXL2","blue","blue",0.061554958848541,-0.061554958848541
"764","ENSG00000156687","UNC5D","blue","blue",0.0609371079218025,-0.0609371079218025
"912","ENSG00000168461","RAB31","blue","blue",0.0606393158909475,0.0606393158909475
"138","ENSG00000090530","P3H2","blue","blue",0.0606374437082741,-0.0606374437082741
"290","ENSG00000111846","GCNT2","blue","blue",0.0593152543382694,-0.0593152543382694
"1045","ENSG00000180447","GAS1","blue","blue",0.0591313968727837,-0.0591313968727837
"807","ENSG00000160888","IER2","blue","blue",0.0589192945955469,-0.0589192945955469
"285","ENSG00000111678","C12orf57","blue","blue",0.0587039041612277,-0.0587039041612277
"299","ENSG00000112539","C6orf118","blue","blue",0.0577496824563918,0.0577496824563918
"364","ENSG00000119630","PGF","blue","blue",0.0572424918375152,0.0572424918375152
"702","ENSG00000150760","DOCK1","blue","blue",0.0563408111709039,0.0563408111709039
"354","ENSG00000118137","APOA1","blue","blue",0.0558908122561575,0.0558908122561575
"517","ENSG00000134532","SOX5","blue","blue",0.0556007423463522,0.0556007423463522
"1326","ENSG00000245532","NEAT1","blue","blue",0.0550540479748628,-0.0550540479748628
"1011","ENSG00000176407","KCMF1","blue","blue",0.0549544982445332,-0.0549544982445332
"925","ENSG00000169604","ANTXR1","blue","blue",0.0548608954176018,0.0548608954176018
"587","ENSG00000139352","ASCL1","blue","blue",0.0544113572363883,0.0544113572363883
"1193","ENSG00000198846","TOX","blue","blue",0.0525321782693803,0.0525321782693803
"561","ENSG00000138029","HADHB","blue","blue",0.0516989312277486,0.0516989312277486
"558","ENSG00000137818","RPLP1","blue","blue",0.0513903718282423,-0.0513903718282423
"212","ENSG00000104112","SCG3","blue","blue",0.0512999834076458,0.0512999834076458
"722","ENSG00000152413","HOMER1","blue","blue",0.0511769182436247,-0.0511769182436247
"1268","ENSG00000227051","C14orf132","blue","blue",0.0508404204678351,0.0508404204678351
"1025","ENSG00000177640","CASC2","blue","blue",0.0506790810632692,0.0506790810632692
"474","ENSG00000130558","OLFM1","blue","blue",0.0501985505008058,0.0501985505008058
"10","ENSG00000006634","DBF4","blue","blue",0.0494955570553069,-0.0494955570553069
"840","ENSG00000163545","NUAK2","blue","blue",0.0492744996973694,-0.0492744996973694
"850","ENSG00000164111","ANXA5","blue","blue",0.0488417972369601,-0.0488417972369601
"322","ENSG00000115310","RTN4","blue","blue",0.0488346532684396,0.0488346532684396
"201","ENSG00000103042","SLC38A7","blue","blue",0.0485799955960375,0.0485799955960375
"1380","ENSG00000266709","MGC12916","blue","blue",0.0479823126339566,-0.0479823126339566
"917","ENSG00000168710","AHCYL1","blue","blue",0.0479679506720206,-0.0479679506720206
"677","ENSG00000147065","MSN","blue","blue",0.0472453208346769,-0.0472453208346769
"320","ENSG00000114739","ACVR2B","blue","blue",0.0468570966093605,0.0468570966093605
"712","ENSG00000151474","FRMD4A","blue","blue",0.0464002928125598,-0.0464002928125598
"651","ENSG00000144566","RAB5A","blue","blue",0.0463311541401034,-0.0463311541401034
"706","ENSG00000150991","UBC","blue","blue",0.0458791418425467,-0.0458791418425467
"567","ENSG00000138413","IDH1","blue","blue",0.0449174326900351,0.0449174326900351
"765","ENSG00000156925","ZIC3","blue","blue",0.0447704860117507,-0.0447704860117507
"869","ENSG00000164946","FREM1","blue","blue",0.0439870926099495,0.0439870926099495
"624","ENSG00000142089","IFITM3","blue","blue",0.0436835351254122,-0.0436835351254122
"125","ENSG00000085117","CD82","blue","blue",0.0435077413112147,-0.0435077413112147
"97","ENSG00000075275","CELSR1","blue","blue",0.0432256505475225,0.0432256505475225
"392","ENSG00000122042","UBL3","blue","blue",0.0430034352416234,0.0430034352416234
"924","ENSG00000169251","NMD3","blue","blue",0.0429657504609855,0.0429657504609855
"167","ENSG00000100354","TNRC6B","blue","blue",0.0426903362984009,0.0426903362984009
"178","ENSG00000100867","DHRS2","blue","blue",0.0425587249596994,-0.0425587249596994
"1063","ENSG00000182287","AP1S2","blue","blue",0.0422852817123355,-0.0422852817123355
"668","ENSG00000145824","CXCL14","blue","blue",0.0420509484567217,-0.0420509484567217
"964","ENSG00000172159","FRMD3","blue","blue",0.0416727073607384,0.0416727073607384
"57","ENSG00000051108","HERPUD1","blue","blue",0.0416613245022618,-0.0416613245022618
"535","ENSG00000136193","SCRN1","blue","blue",0.0412651151169885,-0.0412651151169885
"1180","ENSG00000198478","SH3BGRL2","blue","blue",0.0399289245765586,-0.0399289245765586
"635","ENSG00000143126","CELSR2","blue","blue",0.0396321235814428,0.0396321235814428
"592","ENSG00000139613","SMARCC2","blue","blue",0.0393936997437384,0.0393936997437384
"185","ENSG00000101463","SYNDIG1","blue","blue",0.0387026530350417,0.0387026530350417
"1352","ENSG00000257621","PSMA3-AS1","blue","blue",0.0386366100949384,0.0386366100949384
"899","ENSG00000167110","GOLGA2","blue","blue",0.0379464773423775,-0.0379464773423775
"234","ENSG00000106211","HSPB1","blue","blue",0.0378839497926255,-0.0378839497926255
"396","ENSG00000123095","BHLHE41","blue","blue",0.0377708588456552,-0.0377708588456552
"709","ENSG00000151233","GXYLT1","blue","blue",0.0374407695136177,-0.0374407695136177
"1084","ENSG00000184226","PCDH9","blue","blue",0.0372754906749536,-0.0372754906749536
"242","ENSG00000106799","TGFBR1","blue","blue",0.0370457019540602,0.0370457019540602
"895","ENSG00000166848","TERF2IP","blue","blue",0.0369398241508041,-0.0369398241508041
"959","ENSG00000171956","FOXB1","blue","blue",0.0366319420907818,0.0366319420907818
"317","ENSG00000114346","ECT2","blue","blue",0.0363457574410669,-0.0363457574410669
"596","ENSG00000139910","NOVA1","blue","blue",0.0362625648550079,0.0362625648550079
"647","ENSG00000144369","FAM171B","blue","blue",0.036226469583876,-0.036226469583876
"450","ENSG00000127990","SGCE","blue","blue",0.0361709961423958,-0.0361709961423958
"162","ENSG00000100167","SEPTIN3","blue","blue",0.0360308422192058,0.0360308422192058
"703","ENSG00000150764","DIXDC1","blue","blue",0.0343915285632971,0.0343915285632971
"683","ENSG00000148175","STOM","blue","blue",0.0343259046017262,0.0343259046017262
"146","ENSG00000091527","CDV3","blue","blue",0.0341327858218706,-0.0341327858218706
"329","ENSG00000115806","GORASP2","blue","blue",0.0340299296404436,-0.0340299296404436
"506","ENSG00000133884","DPF2","blue","blue",0.0338918577764492,-0.0338918577764492
"347","ENSG00000117519","CNN3","blue","blue",0.0335287387086642,-0.0335287387086642
"576","ENSG00000138685","FGF2","blue","blue",0.0334381598927772,-0.0334381598927772
"80","ENSG00000067064","IDI1","blue","blue",0.0334310217011172,-0.0334310217011172
"133","ENSG00000088727","KIF9","blue","blue",0.0333622672342478,0.0333622672342478
"182","ENSG00000101220","ADISSP","blue","blue",0.033008494432064,0.033008494432064
"194","ENSG00000102119","EMD","blue","blue",0.0328487768454607,0.0328487768454607
"179","ENSG00000100934","SEC23A","blue","blue",0.0324338726827351,-0.0324338726827351
"512","ENSG00000134250","NOTCH2","blue","blue",0.0317396477283914,-0.0317396477283914
"652","ENSG00000144579","CTDSP1","blue","blue",0.0313519560314739,0.0313519560314739
"54","ENSG00000050165","DKK3","blue","blue",0.0312702652875736,0.0312702652875736
"168","ENSG00000100364","KIAA0930","blue","blue",0.0311969067535096,0.0311969067535096
"695","ENSG00000149451","ADAM33","blue","blue",0.0311206420959959,0.0311206420959959
"812","ENSG00000162105","SHANK2","blue","blue",0.03103521387539,0.03103521387539
"1170","ENSG00000197965","MPZL1","blue","blue",0.0310234117410329,-0.0310234117410329
"227","ENSG00000105829","BET1","blue","blue",0.0303909331982063,-0.0303909331982063
"32","ENSG00000020577","SAMD4A","blue","blue",0.0303146045136887,-0.0303146045136887
"645","ENSG00000144040","SFXN5","blue","blue",0.0303030892422133,0.0303030892422133
"1295","ENSG00000234546","LNCTAM34A","blue","blue",0.0301060044170968,-0.0301060044170968
"526","ENSG00000135248","GARIN1B","blue","blue",0.0300105217028376,-0.0300105217028376
"333","ENSG00000116039","ATP6V1B1","blue","blue",0.029793180347325,-0.029793180347325
"733","ENSG00000153208","MERTK","blue","blue",0.0297830144038031,-0.0297830144038031
"108","ENSG00000078687","TNRC6C","blue","blue",0.0294908835141223,-0.0294908835141223
"798","ENSG00000160094","ZNF362","blue","blue",0.0292015950377686,0.0292015950377686
"584","ENSG00000138944","SHISAL1","blue","blue",0.0289815735802687,0.0289815735802687
"574","ENSG00000138658","ZGRF1","blue","blue",0.0286989975855649,-0.0286989975855649
"634","ENSG00000143067","ZNF697","blue","blue",0.0283426302781764,0.0283426302781764
"633","ENSG00000143013","LMO4","blue","blue",0.0281499534267294,-0.0281499534267294
"407","ENSG00000124126","PREX1","blue","blue",0.0278978146747718,0.0278978146747718
"7","ENSG00000005156","LIG3","blue","blue",0.0276389592686528,-0.0276389592686528
"244","ENSG00000107338","SHB","blue","blue",0.027530746064254,0.027530746064254
"968","ENSG00000172318","B3GALT1","blue","blue",0.027520393462234,-0.027520393462234
"580","ENSG00000138772","ANXA3","blue","blue",0.0273061416353149,-0.0273061416353149
"131","ENSG00000087495","PHACTR3","blue","blue",0.0266926041450482,0.0266926041450482
"206","ENSG00000103449","SALL1","blue","blue",0.0263464310169133,0.0263464310169133
"197","ENSG00000102401","ARMCX3","blue","blue",0.0258014552445863,-0.0258014552445863
"472","ENSG00000130513","GDF15","blue","blue",0.0253305762028884,-0.0253305762028884
"856","ENSG00000164611","PTTG1","blue","blue",0.0252675154847849,-0.0252675154847849
"892","ENSG00000166573","GALR1","blue","blue",0.0249606022835015,0.0249606022835015
"586","ENSG00000139289","PHLDA1","blue","blue",0.0247346262361113,-0.0247346262361113
"861","ENSG00000164683","HEY1","blue","blue",0.0246888393136628,0.0246888393136628
"1177","ENSG00000198363","ASPH","blue","blue",0.0245881150047242,-0.0245881150047242
"1040","ENSG00000179796","LRRC3B","blue","blue",0.0243982590653443,-0.0243982590653443
"590","ENSG00000139438","FAM222A","blue","blue",0.024375313353681,-0.024375313353681
"871","ENSG00000164976","MYORG","blue","blue",0.0233925512444534,0.0233925512444534
"1130","ENSG00000188070","ZFTA","blue","blue",0.0230348769455398,0.0230348769455398
"771","ENSG00000157168","NRG1","blue","blue",0.0229181595340071,-0.0229181595340071
"235","ENSG00000106236","NPTX2","blue","blue",0.0227163640340537,0.0227163640340537
"497","ENSG00000132321","IQCA1","blue","blue",0.0227047852633724,0.0227047852633724
"837","ENSG00000163482","STK36","blue","blue",0.0226638194743119,0.0226638194743119
"989","ENSG00000173890","GPR160","blue","blue",0.0224179164075341,-0.0224179164075341
"30","ENSG00000018625","ATP1A2","blue","blue",0.0219284905501494,-0.0219284905501494
"152","ENSG00000092964","DPYSL2","blue","blue",0.0217666852287574,0.0217666852287574
"1377","ENSG00000264364","DYNLL2","blue","blue",0.0216492890641546,0.0216492890641546
"155","ENSG00000099338","CATSPERG","blue","blue",0.0214818190067102,0.0214818190067102
"401","ENSG00000123485","HJURP","blue","blue",0.0211213385997182,-0.0211213385997182
"657","ENSG00000144857","BOC","blue","blue",0.0208598302031611,-0.0208598302031611
"65","ENSG00000058668","ATP2B4","blue","blue",0.0208533618926688,0.0208533618926688
"499","ENSG00000132680","KHDC4","blue","blue",0.0205634032516891,-0.0205634032516891
"915","ENSG00000168575","SLC20A2","blue","blue",0.0205433758696672,0.0205433758696672
"952","ENSG00000171476","HOPX","blue","blue",0.0199523309435878,0.0199523309435878
"779","ENSG00000158163","DZIP1L","blue","blue",0.0199057215188738,-0.0199057215188738
"1171","ENSG00000198087","CD2AP","blue","blue",0.0197599609834709,-0.0197599609834709
"18","ENSG00000008226","DLEC1","blue","blue",0.0196765177877422,0.0196765177877422
"257","ENSG00000108960","MMD","blue","blue",0.019532977756331,0.019532977756331
"1156","ENSG00000197045","GMFB","blue","blue",0.0193353503483241,0.0193353503483241
"149","ENSG00000092108","SCFD1","blue","blue",0.0192709091226497,-0.0192709091226497
"114","ENSG00000080166","DCT","blue","blue",0.0190023116002121,-0.0190023116002121
"1188","ENSG00000198743","SLC5A3","blue","blue",0.0189023964553291,-0.0189023964553291
"55","ENSG00000050405","LIMA1","blue","blue",0.018858399272608,-0.018858399272608
"1059","ENSG00000182150","ERCC6L2","blue","blue",0.0187055897364217,0.0187055897364217
"397","ENSG00000123096","SSPN","blue","blue",0.0186252420936292,0.0186252420936292
"755","ENSG00000155903","RASA2","blue","blue",0.0185699516468562,-0.0185699516468562
"910","ENSG00000168209","DDIT4","blue","blue",0.0185072553169193,-0.0185072553169193
"838","ENSG00000163510","CWC22","blue","blue",0.0183583840952995,-0.0183583840952995
"193","ENSG00000102034","ELF4","blue","blue",0.0183424673800256,0.0183424673800256
"409","ENSG00000124172","ATP5F1E","blue","blue",0.0182327975574375,-0.0182327975574375
"1042","ENSG00000180209","MYL11","blue","blue",0.0181693270095309,-0.0181693270095309
"922","ENSG00000169062","UPF3A","blue","blue",0.0180711564774755,0.0180711564774755
"945","ENSG00000170893","TRH","blue","blue",0.0177731742915094,-0.0177731742915094
"543","ENSG00000136541","ERMN","blue","blue",0.0177364427356663,0.0177364427356663
"118","ENSG00000081138","CDH7","blue","blue",0.0177319801105296,0.0177319801105296
"383","ENSG00000120756","PLS1","blue","blue",0.0177014048604349,-0.0177014048604349
"232","ENSG00000106123","EPHB6","blue","blue",0.0173989552842519,0.0173989552842519
"19","ENSG00000009413","REV3L","blue","blue",0.0169826667734269,-0.0169826667734269
"1367","ENSG00000261150","EPPK1","blue","blue",0.0169659788675704,0.0169659788675704
"1348","ENSG00000253958","CLDN23","blue","blue",0.0167311695433298,0.0167311695433298
"207","ENSG00000103460","TOX3","blue","blue",0.0167013853875173,-0.0167013853875173
"311","ENSG00000113361","CDH6","blue","blue",0.0162166096621244,0.0162166096621244
"943","ENSG00000170734","POLH","blue","blue",0.016205993679831,-0.016205993679831
"393","ENSG00000122417","ODF2L","blue","blue",0.0160352686686421,0.0160352686686421
"659","ENSG00000145012","LPP","blue","blue",0.0157447628316218,-0.0157447628316218
"946","ENSG00000170989","S1PR1","blue","blue",0.0156795484615698,0.0156795484615698
"459","ENSG00000128872","TMOD2","blue","blue",0.0155541180502266,0.0155541180502266
"332","ENSG00000116035","VAX2","blue","blue",0.0154678705258859,-0.0154678705258859
"842","ENSG00000163617","CCDC191","blue","blue",0.0150935528158504,0.0150935528158504
"542","ENSG00000136485","DCAF7","blue","blue",0.0149811997192877,0.0149811997192877
"503","ENSG00000133056","PIK3C2B","blue","blue",0.0148919517145716,0.0148919517145716
"817","ENSG00000162496","DHRS3","blue","blue",0.0148445734613727,0.0148445734613727
"1060","ENSG00000182158","CREB3L2","blue","blue",0.014752063592496,-0.014752063592496
"1278","ENSG00000228999","LOC124908056","blue","blue",0.014534567386865,-0.014534567386865
"210","ENSG00000103994","ZNF106","blue","blue",0.0145133512075797,-0.0145133512075797
"429","ENSG00000125968","ID1","blue","blue",0.0142159307745897,-0.0142159307745897
"2","ENSG00000001617","SEMA3F","blue","blue",0.0139883519261768,-0.0139883519261768
"546","ENSG00000136859","ANGPTL2","blue","blue",0.0138575381174038,0.0138575381174038
"788","ENSG00000158887","MPZ","blue","blue",0.0137626038966526,0.0137626038966526
